Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
140,2.07143618,3.28845054,15.72500384,4.84590180,-3.24097463,2.48013883,-2.70520084,0,0
141,2.08583661,5.15854471,15.87657854,4.61251022,-0.20524171,1.73989362,-3.44689674,0,0
142,2.08749293,6.30867138,9.13767273,2.01795246,-6.30492832,1.02842554,-7.41270606,0,0
143,2.08779518,5.55372528,17.39182317,10.59715726,-5.52999738,3.41146968,-4.42232877,0,0
144,2.09013406,8.16228080,10.62803164,1.86177537,-7.01837534,3.38121544,-6.08636769,0,0
145,2.11766575,4.35892508,13.86624281,3.88814150,-0.08055906,6.08105793,-4.41784126,0,0
146,2.12594641,4.64813796,5.73193707,3.01176262,-4.62499985,1.96103670,-7.70516975,0,0
147,2.13236173,4.78505383,14.03246993,3.64610822,-0.21005045,2.39141758,-4.49289722,0,0
148,2.14014368,4.67927126,12.23393159,1.98144756,-0.14575290,3.41618849,-5.59502847,0,0
149,2.15665472,3.93540743,15.84565835,4.94745789,-2.95890956,1.95463922,-6.60381525,0,0
150,2.15950822,8.24736806,7.16742081,2.82732883,-6.93661862,1.86462457,-7.71658434,0,0
152,2.17013984,5.24203874,19.71177823,13.54988038,-5.22000524,1.79292380,-3.98960154,0,0
153,2.18457120,4.10873985,17.84188447,12.08968582,-4.09571061,7.64200084,-2.84192705,0,0
154,2.18856159,8.21572510,17.71013579,10.65211577,-7.30000924,1.14094301,-4.40259510,0,0
156,2.25597657,6.00532780,13.66530033,1.10641141,-1.13137767,1.75886479,-7.96536281,0,0
157,2.26164024,7.81242546,8.50506457,2.29399477,-7.02254522,2.46464476,-2.78518763,0,0
159,2.27709263,3.56836236,9.89610753,1.29770812,-0.00000000,1.17487322,-7.83560913,0,0
160,2.28213012,5.81588392,9.04837156,1.65326871,-5.50027052,2.59629507,-7.02160062,0,0
161,2.28316061,7.32010386,7.39687786,2.67012539,-7.00243044,3.39272464,-7.51685343,0,0
162,2.30524297,5.40291353,17.27672449,10.81838411,-5.39243926,2.39011593,-6.75438295,0,0
164,2.32057652,4.76464064,13.28658795,3.04477613,-0.29997500,1.26203563,-2.20315820,0,0
165,2.32088127,5.75766424,14.99712014,3.21404392,-0.53990942,2.55048348,-5.20465196,0,0
166,2.36098182,6.74452567,15.23255640,1.78475173,-1.28926192,3.18162173,-3.15460610,0,0
168,2.37963604,5.68197752,9.81252498,1.19900239,-4.75175987,4.28967250,-6.03166020,0,0
169,2.38719709,4.78801090,14.78709441,4.62050828,-0.27383257,1.16659023,-5.21635193,0,0
170,2.39959066,6.52944113,9.58886948,1.63720991,-6.33002003,2.10038998,-7.94051360,0,0
171,2.41597417,7.53853886,11.26463665,1.28708751,-6.50991227,1.78584053,-3.61723270,0,0
174,2.45420252,7.34008452,18.39716972,11.74594473,-6.90439826,2.09509227,-3.90055786,0,0
